district,year,age_range,spanish_men,spanish_women,spanish_total,foreign_total,total,spanish_men_ref,spanish_women_ref,spanish_total_ref,foreign_total_ref,total_ref,spanish_men_ratio,spanish_women_ratio,spanish_total_ratio,foreign_total_ratio,total_ratio
Usera,2004,40-64,14775,16223,30998,4054,35052,14775,16223,30998,4054,35052,1.0,1.0,1.0,1.0,1.0
Usera,2005,40-64,15181,16513,31694,5015,36709,14775,16223,30998,4054,35052,1.0274788494077833,1.0178758552672131,1.022453061487838,1.237049827331031,1.0472726235307543
Usera,2006,40-64,15267,16587,31854,6136,37990,14775,16223,30998,4054,35052,1.0332994923857868,1.0224372804043642,1.0276146848183754,1.5135668475579673,1.083818327056944
Usera,2007,40-64,15698,16957,32655,6441,39096,14775,16223,30998,4054,35052,1.0624703891708969,1.045244406090119,1.0534550616168785,1.588801184015787,1.1153714481342005
Usera,2008,40-64,15915,17255,33170,7054,40224,14775,16223,30998,4054,35052,1.0771573604060913,1.0636133883991863,1.070069036712046,1.740009866798224,1.1475522081478946
Usera,2009,40-64,16181,17571,33752,7795,41547,14775,16223,30998,4054,35052,1.095160744500846,1.0830919065524256,1.0888444415768759,1.9227923038973853,1.1852961314618282
Usera,2010,40-64,16537,17824,34361,8324,42685,14775,16223,30998,4054,35052,1.1192554991539763,1.0986870492510632,1.1084908703787342,2.053280710409472,1.2177621819011755
Usera,2011,40-64,16996,18200,35196,8603,43799,14775,16223,30998,4054,35052,1.150321489001692,1.1218640202182086,1.1354280921349764,2.122101628021707,1.2495435353189548
Usera,2012,40-64,17447,18726,36173,8402,44575,14775,16223,30998,4054,35052,1.1808460236886633,1.1542871232201195,1.1669462545970708,2.072520966946226,1.271682072349652
Usera,2013,40-64,17893,19254,37147,7942,45089,14775,16223,30998,4054,35052,1.2110321489001692,1.186833507982494,1.1983676366217175,1.9590527873704984,1.2863460002282323
Usera,2014,40-64,18275,19674,37949,7698,45647,14775,16223,30998,4054,35052,1.236886632825719,1.2127226776798372,1.2242402735660365,1.8988653182042428,1.3022652059796873
Usera,2015,40-64,18669,20295,38964,7479,46443,14775,16223,30998,4054,35052,1.2635532994923857,1.2510016643037662,1.2569843215691334,1.8448445979279724,1.3249743238616911
Usera,2016,40-64,19100,20846,39946,8067,48013,14775,16223,30998,4054,35052,1.2927241962774958,1.2849657893114714,1.288663784760307,1.9898865318204242,1.3697649206892617
Usera,2017,40-64,19405,21311,40716,8729,49445,14775,16223,30998,4054,35052,1.31336717428088,1.3136287986192443,1.3135040970385186,2.1531820424272325,1.4106185096428163
Usera,2004,65-84,9564,13703,23267,291,23558,9564,13703,23267,291,23558,1.0,1.0,1.0,1.0,1.0
Usera,2005,65-84,9360,13508,22868,367,23235,9564,13703,23267,291,23558,0.9786700125470514,0.9857695395168941,0.9828512485494477,1.261168384879725,0.9862891586722132
Usera,2006,65-84,9255,13580,22835,423,23258,9564,13703,23267,291,23558,0.9676913425345044,0.9910238633875793,0.9814329307603042,1.4536082474226804,0.9872654724509721
Usera,2007,65-84,9003,13182,22185,354,22539,9564,13703,23267,291,23558,0.9413425345043914,0.9619791286579581,0.9534963682468732,1.2164948453608246,0.9567450547584685
Usera,2008,65-84,8859,13005,21864,372,22236,9564,13703,23267,291,23558,0.9262860727728983,0.9490622491425236,0.9397000042979327,1.2783505154639174,0.9438831819339503
Usera,2009,65-84,8685,12826,21511,402,21913,9564,13703,23267,291,23558,0.9080928481806776,0.9359994161862366,0.9245283018867925,1.3814432989690721,0.9301723406061635
Usera,2010,65-84,8513,12695,21208,397,21605,9564,13703,23267,291,23558,0.8901087411125053,0.9264394658104065,0.9115055658228393,1.3642611683848798,0.9170982256558282
